Italiano,Español
il,el
di,de
e,y
la,la
in,en
che,que
è,es
per,para
un,un
una,una
del,del
con,con
da,de
non,no
a,a
i,los
mi,me
ti,te
si,se
lo,lo
come,como
sul,sobre
al,al
se,si
più,más
ma,pero
le,las
ho,tengo
ci,nos
sono,son
ha,ha
tu,tú
noi,nosotros
gli,los
ora,ahora
suo,su
mio,mi
sua,su
questa,esta
suo,su
loro,ellos
fare,hacer
cosa,cosa
sta,está
giorno,día
tutto,todo
bene,bien
niente,nada
molto,mucho
perché,por qué
sto,estoy
mio,mi
sempre,siempre
grazie,gracias
dei,de
far,hacer
quello,eso
dopo,después
andare,ir
ancora,todavía
voglio,quiero
perché,por qué
devo,debo
dovrebbe,debería
senza,sin
tutti,todos
volta,vez
vai,ve
sapere,saber
avere,tener
vai,ve
dico,digo
chi,quién
potrebbe,podría
può,puede
dare,dar
verso,hacia
venire,venir
pensare,pensar
proprio,propio
giorno,día
notte,noche
tempo,tiempo
ogni,cada
poi,luego
modo,manera
può,puede
dopo,después
così,así
sotto,debajo
dentro,dentro
sopra,encima
sopra,arriba
sopra,allí
lì,por qué
perché,sin embargo
però,cierto
certo,hasta
fino,cierto
certo,todavía
ancora,medio
mezzo,casi
quasi,luego
poi,más
più,mal
male,fuera
via,algo
qualcosa,alguien
qualcuno,algún
qualche,cuánto
quanto,cuántas
quante,todos
tutti,todas
tutte,inmediatamente
subito,tarde
tardi,ligero
leggero,pesado
pesante,dulce
dolce,amargo
amaro,lejos
lontano,cerca
vicino,fuera
fuori,dentro
dentro,encima
sopra,debajo
sotto,largo
lungo,estrecho
stretto,ancho
largo,pequeño
piccolo,grande
grande,alto
alto,bajo
basso,hermoso
bello,feo
brutto,viejo
vecchio,joven
giovane,bueno
buono,malo
cattivo,nuevo
nuovo,caliente
caldo,frío
freddo,blanco
bianco,negro
nero,rojo
rosso,verde
verde,amarillo
giallo,azul
blu,uno
uno,dos
due,tres
tre,cuatro
quattro,cinco
cinque,seis
sei,siete
sette,ocho
otto,nueve
nove,diez
dieci,cien
cento,mil
mille,ahora
ora,minuto
minuto,segundo
secondo,día
giorno,semana
settimana,mes
mese,año
anno,hoy
oggi,ayer
ieri,mañana
domani,temprano
presto,tarde
tardi,ahora
adesso,siempre
sempre,nunca
mai,ya
già,todavía
ancora,a
a,de
di,en
in,de
da,sobre
su,para
per,con
con,entre
tra,y
fra,o
e,pero
o,si
ma,por qué
se,cuando
perché,dónde
quando,cómo
dove,quién
come,que
chi,cuál
che,cuánto
quale,cuál
quanto,cuáles
quale,cuáles
quali,cuáles